Empresa;Cotação;Divida_Liquida;Custos;Lucro_Liquido;Lucro_Bruto;Margem_Bruta;Margem_Liquida;Divida_Bruta;Divida_Liquida.1;Roic;ROE;Receita_Liquida;EBITA;EBIT;Impostos;Margem_EBITA;Dy;P/VP;P/L;VPA;LPA
TRISUL;4.9;714330000.0;-667030000.0;242920000.0;229480000.0;25.6;27.1;992010000.0;;4.83;4.75;896510000.0;136000000.0;162300000.0;-24820000.0;18.1;2.8;0.7;9.74;7.02;0.5
PORTO SEGURO;26.76;-11320000000.0;0.0;1.91;30360000000.0;100.0;6.31;0.0;;9.62;4.47;30360000000.0;1.65;2000000000.0;-546920000.0;6.59;0.33;1.51;9.27;17.72;2.89
M.DIAS BRANCO;37.01;1.16;-7900000000.0;498400000.0;3130000000.0;28.38;4.52;2390000000.0;;6.33;1.84;11030000000.0;713470000.0;1.0;119210000.0;9.09;0.54;1.79;25.17;20.64;1.47
CPFL ENERGIA;33.3;19400000000.0;-27070000000.0;5690000000.0;12900000000.0;32.26;14.24;24670000000.0;19400000000.0;20.61;8.45;39970000000.0;11170000000.0;13360000000.0;-2410000000.0;33.41;10.29;2.15;6.94;15.48;4.8
KORA SAÚDE;1.0;2250000000.0;-1.7;-211230000.0;466570000.0;21.53;-9.75;2440000000.0;2250000000.0;6.5;-4.72;2170000000.0;240600000.0;367760000.0;-13750000.0;16.97;0.0;0.74;-3.44;1.36;-0.29
INTELBRAS;19.71;-337710000.0;-3030000000.0;533990000.0;1.33;30.5;12.25;980430000.0;-337710000.0;14.48;5.89;4360000000.0;514240000.0;573380000.0;22980000.0;13.16;2.9;2.68;12.1;7.36;1.63
SLC AGRICOLA;37.08;3760000000.0;-6280000000.0;977770000.0;2630000000.0;29.46;10.97;4930000000.0;3760000000.0;16.76;4.91;8910000000.0;2.0;2190000000.0;-284610000.0;24.55;7.94;1.59;9.12;23.38;4.07
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A;19.65;4320000000.0;-3450000000.0;-31230000.0;1.06;23.53;-0.69;7480000000.0;4320000000.0;8.02;-0.72;4520000000.0;800160000.0;1.16;-115090000.0;25.74;0.68;2.08;-19.35;9.44;-1.02
CURY;15.18;-335780000.0;-1.58;410800000.0;953720000.0;37.7;16.24;499610000.0;;29.88;12.45;2530000000.0;501600000.0;407300000.0;-64010000.00000001;16.1;5.19;4.59;11.22;3.31;1.35
BRISANET;3.19;750400000.0;-603240000.0;121570000.0;520750000.0;46.33;10.82;1.21;;7.36;2.18;1.12;247290000.0;549350000.0;-51880000.0;48.87;1.01;0.99;11.78;3.22;0.27
SINQIA S.A;27.28;211180000.0;-383870000.0;4830000.0;272750000.0;41.54;0.74;429400000.0;;4.4;0.18;656630000.0;55670000.0;164690000.0;-8670000.0;25.08;0.2;3.75;2732.41;7.27;0.01
DESKTOP;14.33;680880000.0;-300330000.0;90170000.0;553700000.0;64.83;10.56;852670000.0;;13.37;2.1;854020000.0;289130000.0;405600000.0;-10880000.0;47.49;0.0;1.34;20.57;10.66;0.7
EVEN CONSTRUTORA E INCORPORADORA;5.89;-7760000.0;-2020000000.0;215780000.0;551700000.0;21.48;8.4;945320000.0;;3.32;2.76;2570000000.0;165730000.0;176610000.0;-67200000.0;6.88;6.82;0.58;8.3;10.11;0.71
MELNICK;4.01;-171830000.0;-845450000.0;101350000.0;212840000.0;20.11;9.58;238620000.0;;1.94;2.1;1.06;55610000.0;58240000.0;-27830000.0;5.5;13.19;0.69;10.26;5.79;0.39
CM HOSPITALAR S.A.;15.65;2310000000.0;-8570000000.0;209410000.0;1.66;16.23;2.05;3280000000.0;;9.96;2.26;10230000000.0;614470000.0;839820000.0;51490000.0;8.21;1.77;2.13;24.13;7.36;0.65
